URL,Chamber,Sponsor Party,Bipartisan?,Introduced Month,Number of Sponsors
https://www.congress.gov/bill/115th-congress/house-bill/4829,House,Democrat,True,January,15
https://www.congress.gov/bill/115th-congress/senate-bill/3502,Senate,Democrat,True,September,4
https://www.congress.gov/bill/116th-congress/house-bill/2575,House,Democrat,True,May,2
https://www.congress.gov/bill/116th-congress/senate-bill/1363,Senate,Democrat,True,May,6
https://www.congress.gov/bill/116th-congress/house-bill/7096,House,Democrat,True,June,9
https://www.congress.gov/bill/116th-congress/house-bill/827,House,Democrat,True,January,17
https://www.congress.gov/bill/116th-congress/senate-bill/1558,Senate,Democrat,True,May,3
https://www.congress.gov/bill/116th-congress/house-resolution/153,House,Democrat,False,February,11
https://www.congress.gov/bill/116th-congress/senate-bill/3901,Senate,Democrat,True,June,2
https://www.congress.gov/bill/116th-congress/senate-bill/3890,Senate,Republican,True,June,2
https://www.congress.gov/bill/116th-congress/house-bill/7339,House,Democrat,False,June,1
https://www.congress.gov/bill/116th-congress/house-bill/8183,House,Democrat,False,September,1
https://www.congress.gov/bill/116th-congress/house-bill/8128,House,Democrat,True,August,5
https://www.congress.gov/bill/116th-congress/senate-bill/4082,Senate,Democrat,True,June,2
https://www.congress.gov/bill/116th-congress/house-bill/7856,House,Democrat,False,July,1
https://www.congress.gov/amendment/116th-congress/senate-amendment/1977,Senate,,False,,0
https://www.congress.gov/amendment/116th-congress/senate-amendment/2301,Senate,,False,,0
https://www.congress.gov/bill/117th-congress/senate-bill/2551,Senate,Democrat,True,July,2
https://www.congress.gov/bill/117th-congress/senate-bill/1353,Senate,Democrat,True,April,2
https://www.congress.gov/bill/117th-congress/senate-bill/1257,Senate,Democrat,True,April,2
https://www.congress.gov/bill/117th-congress/house-bill/4468,House,Democrat,False,July,1
https://www.congress.gov/bill/117th-congress/house-bill/4469,House,Democrat,True,July,4
https://www.congress.gov/bill/117th-congress/house-bill/6553,House,Democrat,False,February,5
https://www.congress.gov/bill/117th-congress/house-bill/7811,House,Republican,True,May,2
https://www.congress.gov/bill/117th-congress/house-bill/3844,House,Republican,True,June,5
https://www.congress.gov/bill/117th-congress/house-bill/3723,House,Democrat,True,June,6
https://www.congress.gov/bill/117th-congress/house-bill/5467,House,Republican,False,September,1
https://www.congress.gov/bill/117th-congress/senate-bill/2904,Senate,Republican,False,September,1
https://www.congress.gov/bill/117th-congress/senate-bill/1705,Senate,Democrat,True,May,2
https://www.congress.gov/bill/117th-congress/senate-bill/1260,Senate,Democrat,True,April,14
https://www.congress.gov/bill/117th-congress/house-bill/2153,House,Republican,False,March,17
https://www.congress.gov/bill/117th-congress/house-bill/7683,House,Democrat,True,May,2
https://www.congress.gov/bill/117th-congress/senate-bill/3035,Senate,Democrat,True,October,2
https://www.congress.gov/bill/117th-congress/house-bill/7296,House,Democrat,True,March,2
https://www.congress.gov/bill/117th-congress/house-bill/7776,House,Democrat,True,May,4
https://www.congress.gov/bill/117th-congress/senate-bill/5351,Senate,Republican,False,December,1
https://www.congress.gov/bill/118th-congress/senate-bill/1356,Senate,Democrat,False,April,1
https://www.congress.gov/bill/118th-congress/senate-bill/2770,Senate,Democrat,True,September,6
https://www.congress.gov/bill/118th-congress/house-bill/4223,House,Democrat,True,June,11
https://www.congress.gov/bill/118th-congress/senate-bill/1564,Senate,Democrat,True,May,2
https://www.congress.gov/bill/118th-congress/senate-bill/1596,Senate,Democrat,False,May,4
https://www.congress.gov/bill/118th-congress/house-bill/3044,House,Democrat,False,May,1
https://www.congress.gov/bill/118th-congress/house-bill/7694,House,Republican,False,March,2
https://www.congress.gov/bill/118th-congress/house-bill/1718,House,Republican,True,March,3
https://www.congress.gov/bill/118th-congress/house-bill/3369,House,Democrat,True,May,3
https://www.congress.gov/bill/118th-congress/senate-bill/1626,Senate,Republican,False,May,1
https://www.congress.gov/bill/118th-congress/senate-bill/2691,Senate,Democrat,True,July,4
https://www.congress.gov/bill/118th-congress/senate-bill/2765,Senate,Republican,False,September,1
https://www.congress.gov/bill/118th-congress/house-bill/9403,House,Democrat,True,August,5
https://www.congress.gov/bill/118th-congress/house-bill/8384,House,Democrat,True,May,4
https://www.congress.gov/bill/118th-congress/senate-bill/4394,Senate,Democrat,True,May,3
https://www.congress.gov/bill/118th-congress/house-bill/4503,House,Republican,True,July,3
https://www.congress.gov/bill/118th-congress/house-resolution/66,House,Democrat,False,January,1
https://www.congress.gov/bill/118th-congress/senate-bill/2293,Senate,Democrat,True,July,2
